# drampower_file,core/verif/drampower/out/output_trace_1_dual_6400
# ours_file,core/verif/drampower/out/ddr5.x8.6400
# memory_id,ddr5
# device_width_bits,8
# ranks,1
# devices_modeled,8
# cycles,2919445
# tCK_s,3.120000000000e-10
# BNK_PRE_frac,0.048000
bucket,drampower_W,our_W,abs_err_W(our-dr),pct_err_%,comparable
total.P_total,1.213025605679,1.125414000000,-0.087611605679,-7.222569,1
total.P_core,0.960657505673,0.732616000000,-0.228041505673,-23.738065,1
total.P_interface,0.252368100006,0.392798000000,0.140429899994,55.644870,1
core.rd,0.442540275155,0.169920000000,-0.272620275155,-61.603495,1
core.wr,,0.064176000000,,,1
core.ref,0.001503614557,0.002691000000,0.001187385443,78.968738,1
core.bg_pre,0.025484891820,0.015552000000,-0.009932891820,-38.975609,1
core.bg_act_total,0.327461934435,0.379200000000,0.051738065565,15.799719,1
core.act_pre,0.163666789707,0.119278000000,-0.044388789707,-27.121440,1
core.act,0.091569743864,,,,0
core.pre,0.072097045843,,,,0
